profile	chip	brand	official_model_or_pn	public_catalog_code	official_source	device_id	g11_subsystem_projection	g11_vbios_projection	vram_mb	memory_bus_bits	physical_unit_serial_policy
gt740_1gb	GT 740	MSI	N740-1GD5	N740-1GD5; UPC 4719072354930	https://us.msi.com/Graphics-Card/N740-1GD5/Specification	10DE:0FC8	1462:8A9E	80.07.D9.00.52	1024	128	not-exposed; capture label at receiving
gt740_asus_1gb	GT 740	ASUS	GT740-OC-1GD5	P/N 60YV06J2-VG0A04	https://www.asus.com/supportonly/gt740-oc-1gd5/helpdesk_bios/	10DE:0FC8	1043:8694	80.07.D9.00.14	1024	128	not-exposed; capture label at receiving
gt740_gigabyte_1gb	GT 740	Gigabyte	GV-N740D5OC-1GI	GV-N740D5OC-1GI	https://www.gigabyte.com/Graphics-Card/GV-N740D5OC-1GI/sp	10DE:0FC8	1458:368D	80.07.D9.00.2A	1024	128	not-exposed; capture label at receiving
gt740_zotac_1gb	GT 740	ZOTAC	ZT-71002-10L	SKU ZT-71002-10L; EAN 4895173604461; UPC 816264014741	https://www.zotac.com/old_zotac/fileadmin/Redakteure/Products/Pdf/ZT-71002-10L_GT-740_1GB-DDR5_v1.2.pdf	10DE:0FC8	19DA:4291	80.07.D9.00.3A	1024	128	not-exposed; capture label at receiving
gt730_1gb	GT 730	ASUS	GT730-1GD5-BRK	GT730-1GD5-BRK	https://www.asus.com/us/supportonly/gt730-1gd5-brk/helpdesk_download/	10DE:1287	1043:84E4	80.28.6A.00.0B	1024	64	not-exposed; capture label at receiving
gt730_msi_1gb	GT 730	MSI	N730K-1GD5LP/OC	N730K-1GD5LP/OC; UPC 4719072356248	https://us.msi.com/Graphics-Card/N730K-1GD5LPOC/Specification	10DE:1287	1462:8A9F	80.28.78.00.48	1024	64	not-exposed; capture label at receiving
gt730_gigabyte_1gb	GT 730	Gigabyte	GV-N730D5OC-1GI	GV-N730D5OC-1GI	https://www.gigabyte.com/Graphics-Card/GV-N730D5OC-1GI/sp	10DE:1287	1458:3693	80.28.7A.00.26	1024	64	not-exposed; capture label at receiving
gt730_zotac_1gb	GT 730	ZOTAC	ZT-71102-10L	SKU ZT-71102-10L	https://www.zotac.com/eu/product/graphics_card/geforce%C2%AE-gt-730-1gb-ddr5-0	10DE:1287	19DA:730B	80.28.7A.00.16	1024	64	not-exposed; capture label at receiving
gtx750_asus_1gb	GTX 750	ASUS	GTX750-PHOC-1GD5	GTX750-PHOC-1GD5	https://www.asus.com/us/supportonly/gtx750-phoc-1gd5/helpdesk_manual/	10DE:1381	1043:8644	82.07.25.00.09	1024	128	not-exposed; capture label at receiving
gtx750_msi_1gb	GTX 750	MSI	N750 GAMING 1GD5/OC	N750 GAMING 1GD5/OC	https://storage-asset.msi.com/datasheet/original/vga/global/N750-GAMING-1GD5OC.pdf	10DE:1381	1462:3107	82.07.25.00.36	1024	128	not-exposed; capture label at receiving
gtx750_gigabyte_1gb	GTX 750	Gigabyte	GV-N750OC-1GI	GV-N750OC-1GI	https://www.gigabyte.com/Graphics-Card/GV-N750OC-1GI/sp	10DE:1381	1458:362E	82.07.32.40.6D	1024	128	not-exposed; capture label at receiving
gtx750_zotac_1gb	GTX 750	ZOTAC	ZT-70701-10M	SKU ZT-70701-10M	https://www.zotac.com/old_zotac/index.php?L=7&id=170045&tx_zoprodisp_pi1%5Bproduid%5D=6019	10DE:1381	19DA:288B	82.07.32.00.2F	1024	128	not-exposed; capture label at receiving
